OBJECTID,Early_Yr,Late_Yr,GNIS_ID,GNIS_Name,Shape__Length
420,1996,1996,00219403,Black Rock Creek,1105.85074452083
421,1996,1996,00219535,Bluegum Creek,251.715989213248
422,1996,1996,00219818,Bridge Creek,3.69027886327462
423,1996,1996,00231019,Powers Creek,1038.1912433573
424,1996,1996,00236070,Tectah Creek,15779.386305633
425,1996,1996,00236616,Tully Creek,1089.28350239606
426,1996,1996,00237434,West Branch North Fork Indian Creek,15.4263704333889
427,1996,1996,00253930,Steelhead Creek,1451.63309109478
428,1996,1996,00258011,Carter Creek,1045.35860321345
429,1996,1996,00261462,Hoppaw Creek,2687.07730549247
430,1996,1996,00261975,Johnson Creek,1381.79231474366
431,1996,1996,00263348,McGarvey Creek,977.395168911762
432,1996,1996,00263995,Mynot Creek,524.656116933094
433,1996,1996,00264351,Omogar Creek,2799.89325767671
434,1996,1996,00265440,Roach Creek,1284.9787050419
435,1996,1996,00265856,Saugep Creek,2864.61224922615
436,1996,1996,00266592,Conley Creek,3402.4973265235
437,1996,1996,00267987,Surpur Creek,1151.97818066932
438,1996,1996,00268092,Tarup Creek,2960.7789228668
439,1996,1996,00268885,West Fork Blue Creek,3310.39369941046
440,1996,1996,01662293,Con Creek,1808.52871665808
441,1996,1996,,,97.6673285383768
442,1996,1996,,,45.8754442631504
443,1996,1996,,,81.173249091883
444,1996,1996,,,145.719481820597
445,1996,1996,,,16.5599961145587
446,1996,1996,,,121.403844924986
447,1996,1996,,,229.367307441995
448,1996,1996,,,753.313142966714
449,1996,1996,,,755.707565359258
450,1996,1996,,,355.446024959031
451,1996,1996,,,951.184793159185
452,1996,1996,,,1044.6707635182
453,1996,1996,,,159.985450903106
454,1996,1996,,,2449.09302470301
455,1996,1996,,,296.637630447135
456,1997,1997,00217990,Adobe Creek,3352.73535998999
457,1997,1997,00222756,Dutch Bill Creek,0.810961802185354
458,1997,1997,00227354,Little Salmon Creek,4334.88333094029
459,1997,1997,00228434,McNab Creek,916.678428149064
460,1997,1997,00246001,Mission Creek,1364.17865912777
461,1997,1997,,,93.8951556204997
462,1997,1997,,,223.763946457819
463,1997,1997,,,98.2640401197648
464,1997,1997,,,667.656485678207
465,1997,1997,,,536.423518081609
466,1997,1997,,,841.444989881297
467,1998,1998,00218027,Aikens Creek,1447.22830657625
468,1998,1998,00219543,Bluff Creek,1674.09960583387
469,1998,1998,00219756,Bradburn Creek,817.3804678227
470,1998,1998,00219983,Buck Creek,4896.86886759488
471,1998,1998,00220769,Cedar Creek,6375.29446754826
472,1998,1998,00220914,Chapman Branch,178.719598508932
473,1998,1998,00221505,Coon Creek,1438.10719975828
474,1998,1998,00222892,East Fork Patrick Creek,2137.88231310056
475,1998,1998,00222906,East Fork Willow Creek,1951.0897994022
476,1998,1998,00223007,Eightmile Creek,3601.63648270013
477,1998,1998,00223368,Fall Creek,254.863384806602
478,1998,1998,00224615,Griffin Creek,1575.95252123628
479,1998,1998,00225612,Horse Linto Creek,4796.89777041513
480,1998,1998,00225710,Howell Creek,5483.56981848936
481,1998,1998,00228919,Monkey Creek,9922.95125606209
482,1998,1998,00229395,Muzzleloader Creek,520.10276960312
483,1998,1998,00230457,Pechaco Creek,837.170988953753
484,1998,1998,00230889,Poison Oak Creek,1003.14723157398
485,1998,1998,00231124,Quartz Creek,13035.2776839882
486,1998,1998,00232864,Sharber Creek,1957.77593436144
487,1998,1998,00232941,Shelly Creek,4421.80475851373
488,1998,1998,00234029,Hopkins Creek,3099.33124992678
489,1998,1998,00234594,Rowdy Creek,2156.83885033207
490,1998,1998,00236779,Underwood Creek,1291.16841231386
491,1998,1998,00237479,West Fork Patrick Creek,1609.21398108201
492,1998,1998,00237844,Williams Creek,1869.99416629606
493,1998,1998,00237897,Willow Creek,1229.05496683309
494,1998,1998,00252339,Idlewild Creek,832.663206054427
495,1998,1998,00254628,Blackhawk Creek,1506.08358080968
496,1998,1998,00256227,Ammon Creek,14.4459873845862
497,1998,1998,00256639,Bear Creek,2726.49519132699
498,1998,1998,00256649,Bear Creek,1112.35163794048
499,1998,1998,00257234,Blue Creek,839.727997456916
500,1998,1998,00257324,Boise Creek,9940.90666812604
501,1998,1998,00257869,Camp Creek,10462.0195190083
502,1998,1998,00257935,Canthook Creek,532.216471537751
503,1998,1998,00258411,Clarks Creek,1913.38297821085
504,1998,1998,00258702,Copper Creek,3472.8514686308
505,1998,1998,00258864,Craigs Creek,1295.14844455129
506,1998,1998,00258907,Crescent City Fork,3437.47797518907
507,1998,1998,00259044,Dans Creek,988.761206315188
508,1998,1998,00259236,Deer Lick Creek,581.027164813314
509,1998,1998,00259342,Diamond Creek,791.577573341711
510,1998,1998,00259713,East Fork Bluff Creek,1961.47252899819
511,1998,1998,00260146,Fish Creek,803.090447601891
512,1998,1998,00260705,Goose Creek,469.289595893826
513,1998,1998,00260715,Gordon Creek,4049.14752540044
514,1998,1998,00261091,Hardscrabble Creek,3390.637537017
515,1998,1998,00261324,High Plateau Creek,3025.50908019092
516,1998,1998,00261659,Hurdygurdy Creek,4248.76234967758
517,1998,1998,00262000,Jones Creek,11440.5654998675
518,1998,1998,00262226,Knopti Creek,3040.38726550858
519,1998,1998,00262672,Little Mill Creek,4993.12141758753
520,1998,1998,00263616,Mill Creek,9981.28150549651
521,1998,1998,00263997,Myrtle Creek,3166.32926115015
522,1998,1998,00264089,Nickowitz Creek,6737.07280860544
523,1998,1998,00264138,North Fork Bluff Creek,558.440776745232
524,1998,1998,00264255,Notice Creek,1634.83607168879
525,1998,1998,00264587,Peacock Creek,4422.97508999566
526,1998,1998,00265347,Redwood Creek,2701.21847869587
527,1998,1998,00265496,Rock Creek,12396.4502824788
528,1998,1998,00265860,Savoy Creek,2602.30221038457
529,1998,1998,00265931,Scorpion Creek,465.674589615363
530,1998,1998,00266270,Slate Creek,10151.995258107
531,1998,1998,00266293,Slide Creek,1984.75809348723
532,1998,1998,00266596,Coon Creek,8390.78741656284
533,1998,1998,00266904,Leary Creek,489.620780983297
534,1998,1998,00267005,Middle Fork Smith River,1972.26154244476
535,1998,1998,00267011,Mill Creek,14187.2347077025
536,1998,1998,00267077,North Fork Red Cap Creek,1307.49421847249
537,1998,1998,00267165,Red Cap Creek,5081.50145245423
538,1998,1998,00267494,South Fork Red Cap Creek,1671.74862942621
539,1998,1998,00267506,South Fork Smith River,2318.03147404942
540,1998,1998,00267746,Still Creek,1763.3287697569
541,1998,1998,00267781,Stony Creek,4462.39554704948
542,1998,1998,00267910,Sultan Creek,4211.77834942681
543,1998,1998,00268299,Tish Tang a Tang Creek,5979.16233167687
544,1998,1998,00269100,Wilder Creek,1485.98567953279
545,1998,1998,00269245,Winner Creek,1580.88606876471
546,1998,1998,01146945,North Fork Diamond Creek,3758.77051646729
547,1998,1998,01654929,Pearch Creek,3964.13877214983
548,1998,1998,01654932,Prescott Fork,2985.17363044664
549,1998,1998,,,7.93278798376356
550,1998,1998,,,319.766016742543
551,1998,1998,,,1873.79850177124
552,1998,1998,,,529.984006972055
553,1998,1998,,,438.426078288456
